# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.613887287191e-10       1.303828641967e-14       1.357231302613e-12       0.000000000000e+00       7.998669710681e-09       4.640374738287e-10      -1.845329893910e-12 
    3       3.500887514953e-10       1.720320033294e-14       1.411987661779e-12       0.000000000000e+00       4.930760509187e-09       3.275415146140e-10      -1.397566831714e-12 
    4       3.406638990108e-10       1.550893282405e-14       1.271293367799e-12       0.000000000000e+00       3.423041162251e-09       2.471738594606e-10      -9.146450930228e-13 
    5       3.339122915010e-10       1.085737422472e-14       1.064033154691e-12       0.000000000000e+00       2.549180871898e-09       1.946433165154e-10      -5.078701515855e-13 
    6       3.293162230116e-10       6.293449268521e-15       8.517590398038e-13       0.000000000000e+00       1.987380313387e-09       1.579225919695e-10      -2.076265449407e-13 
    7       3.263471108897e-10       3.307029740100e-15       6.668328451442e-13       0.000000000000e+00       1.601069980623e-09       1.311022141670e-10      -1.549295848159e-14 
    8       3.246210334638e-10       1.869514565688e-15       5.212353646466e-13       0.000000000000e+00       1.321625335578e-09       1.108486223223e-10       8.314480531858e-14 
    9       3.236928679532e-10       1.313078147710e-15       4.162800113904e-13       0.000000000000e+00       1.111718832078e-09       9.512126766234e-11       1.112441219493e-13 
   10       3.233931486575e-10       1.058456715502e-15       3.476554863819e-13       0.000000000000e+00       9.494098501615e-10       8.265067741875e-11       9.442561659318e-14 
   11       3.235883728662e-10       8.582587449434e-16       3.084961161341e-13       0.000000000000e+00       8.011562937766e-10       7.300137246130e-11       5.676990686067e-14 
   12       3.241267554844e-10       6.938738675465e-16       2.916228221350e-13       0.000000000000e+00       6.994230005625e-10       6.450154485455e-11       1.604968299547e-14 
   13       3.249156958070e-10       5.993157396696e-16       2.907357688442e-13       0.000000000000e+00       6.159528383723e-10       5.750370391743e-11      -1.554821543891e-14 
   14       3.259281917438e-10       5.747249330012e-16       3.008346050332e-13       0.000000000000e+00       5.465562686655e-10       5.160582006548e-11      -3.305205363013e-14 
   15       3.271360405316e-10       5.940245497905e-16       3.182260168918e-13       0.000000000000e+00       4.881814114785e-10       4.642895268487e-11      -3.707228647002e-14 
   16       3.283992550426e-10       6.387028177506e-16       3.404461250354e-13       0.000000000000e+00       4.385773346378e-10       4.205444219003e-11      -3.112311011821e-14 
   17       3.297881294482e-10       7.095483334962e-16       3.661278518650e-13       0.000000000000e+00       3.960504915886e-10       3.830372415182e-11      -2.037095861500e-14 
   18       3.312572245259e-10       8.157425276636e-16       3.945075269445e-13       0.000000000000e+00       3.591617976585e-10       3.500142503092e-11      -9.765908470552e-15 
   19       3.328372834358e-10       9.591411477149e-16       4.252623592120e-13       0.000000000000e+00       3.273189041304e-10       3.210261700646e-11      -2.023459702104e-15 
   20       3.344380502448e-10       1.137115944572e-15       4.579943661406e-13       0.000000000000e+00       2.992898147895e-10       2.952301002578e-11       9.635842213303e-16 
   21       3.360947149682e-10       1.347261708749e-15       4.923764778423e-13       0.000000000000e+00       2.746302057665e-10       2.724971781597e-11      -3.704363014441e-16 
   22       3.377896574699e-10       1.586876622075e-15       5.279976155622e-13       0.000000000000e+00       2.527458979370e-10       2.525040226818e-11      -4.390806709014e-15 
   23       3.395394898853e-10       1.857217557249e-15       5.644390382471e-13       0.000000000000e+00       2.333332233468e-10       2.347017651902e-11      -9.362072626896e-15 
   24       3.413081379039e-10       2.160448649360e-15       6.012127891887e-13       0.000000000000e+00       2.159407333403e-10       2.183146082884e-11      -1.338186667183e-14 
   25       3.431097911003e-10       2.497024554406e-15       6.378922285039e-13       0.000000000000e+00       2.003616950729e-10       2.034519556490e-11      -1.553336979801e-14 
   26       3.449275007745e-10       2.867056179807e-15       6.740823507186e-13       0.000000000000e+00       1.863120134946e-10       1.902964387010e-11      -1.538607132245e-14 
   27       3.467635058120e-10       3.273043094006e-15       7.096619282177e-13       0.000000000000e+00       1.736219653519e-10       1.784874213709e-11      -1.355416018893e-14 
   28       3.485965759131e-10       3.718240583755e-15       7.446160557759e-13       0.000000000000e+00       1.620717124896e-10       1.674509772748e-11      -1.106381125172e-14 
   29       3.504498957575e-10       4.205082211029e-15       7.789461491073e-13       0.000000000000e+00       1.516012948453e-10       1.571914899126e-11      -8.545769220016e-15 
   30       3.523223444632e-10       4.735778012851e-15       8.126877557346e-13       0.000000000000e+00       1.420971177668e-10       1.478344840018e-11      -6.618448035507e-15 
   31       3.541809521842e-10       5.312492187992e-15       8.458875708870e-13       0.000000000000e+00       1.333639612421e-10       1.394202347943e-11      -5.861304108693e-15 
   32       3.560425613205e-10       5.937096893324e-15       8.784929167312e-13       0.000000000000e+00       1.253561830032e-10       1.318565764525e-11      -6.149100463665e-15 
   33       3.579146894968e-10       6.611311169505e-15       9.104214675365e-13       0.000000000000e+00       1.180168012872e-10       1.249301558200e-11      -7.057436128881e-15 
   34       3.597838312441e-10       7.336764044301e-15       9.415746550230e-13       0.000000000000e+00       1.112426196490e-10       1.183876859651e-11      -8.098924198623e-15 
   35       3.616626790250e-10       8.115029730864e-15       9.717865418076e-13       0.000000000000e+00       1.049984351034e-10       1.122143332860e-11      -8.984413083163e-15 
   36       3.635541231697e-10       8.947588319308e-15       1.000854529437e-12       0.000000000000e+00       9.923350072613e-11       1.064442260417e-11      -9.444189114323e-15 
   37       3.654467369750e-10       9.835883909801e-15       1.028585766463e-12       0.000000000000e+00       9.387207195609e-11       1.010873595484e-11      -9.248386805161e-15 
