# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.613893437275e-10       1.303858506424e-14       1.357231297703e-12       2.986444701080e-19       7.998669710681e-09       4.640374738287e-10      -1.845329893910e-12 
    3       3.500899747773e-10       1.720379783888e-14       1.411987639890e-12       5.975049730420e-19       4.930760509187e-09       3.275415146140e-10      -1.397566831714e-12 
    4       3.406659230783e-10       1.550992914463e-14       1.271293304882e-12       9.963158345658e-19       3.423041162251e-09       2.471738594606e-10      -9.146450930228e-13 
    5       3.339153005193e-10       1.085886959002e-14       1.064033011292e-12       1.495348994393e-18       2.549180871898e-09       1.946433165154e-10      -5.078701515855e-13 
    6       3.293203912376e-10       6.295544244175e-15       8.517587576675e-13       2.094931002092e-18       1.987380313387e-09       1.579225919695e-10      -2.076265449407e-13 
    7       3.263526014291e-10       3.309825279326e-15       6.668323440793e-13       2.795434820141e-18       1.601069980623e-09       1.311022141670e-10      -1.549295848159e-14 
    8       3.246279973848e-10       1.873112053468e-15       5.212345396875e-13       3.597270670235e-18       1.321625335578e-09       1.108486223223e-10       8.314480531858e-14 
    9       3.237014437764e-10       1.317579436159e-15       4.162787302663e-13       4.500876249763e-18       1.111718832078e-09       9.512126766234e-11       1.112441219493e-13 
   10       3.234034622310e-10       1.063964149589e-15       3.476535872952e-13       5.506706664612e-18       9.494098501615e-10       8.265067741875e-11       9.442561659318e-14 
   11       3.236005376186e-10       8.648751779390e-16       3.084934058360e-13       6.615224430143e-18       8.011562937766e-10       7.300137246130e-11       5.676990686067e-14 
   12       3.241408730344e-10       7.017026657560e-16       2.916190742751e-13       7.826889884091e-18       6.994230005625e-10       6.450154485455e-11       1.604968299547e-14 
   13       3.249318568950e-10       6.084607762394e-16       2.907307225615e-13       9.142152333690e-18       6.159528383723e-10       5.750370391743e-11      -1.554821543891e-14 
   14       3.259464774401e-10       5.852905708273e-16       3.008279637481e-13       1.056144222533e-17       5.465562686655e-10       5.160582006548e-11      -3.305205363013e-14 
   15       3.271565236640e-10       6.061156138049e-16       3.182174472533e-13       1.208516458004e-17       4.881814114785e-10       4.642895268487e-11      -3.707228647002e-14 
   16       3.284220017807e-10       6.524245571139e-16       3.404352559767e-13       1.371369388365e-17       4.385773346378e-10       4.205444219003e-11      -3.112311011821e-14 
   17       3.298132009757e-10       7.250063744743e-16       3.661142737221e-13       1.544737055930e-17       3.960504915886e-10       3.830372415182e-11      -2.037095861500e-14 
   18       3.312846787631e-10       8.330428179637e-16       3.944907906192e-13       1.728649833457e-17       3.591617976585e-10       3.500142503092e-11      -9.765908470552e-15 
   19       3.328671765436e-10       9.783898949302e-16       4.252419752037e-13       1.923134774177e-17       3.273189041304e-10       3.210261700646e-11      -2.023459702104e-15 
   20       3.344704383732e-10       1.158419546114e-15       4.579698037952e-13       2.128214921777e-17       2.992898147895e-10       2.952301002578e-11       9.635842213303e-16 
   21       3.361296553358e-10       1.370726682319e-15       4.923471642344e-13       2.343910697462e-17       2.746302057665e-10       2.724971781597e-11      -3.704363014441e-16 
   22       3.378272097320e-10       1.612609527187e-15       5.279629346316e-13       2.570239107483e-17       2.527458979370e-10       2.525040226818e-11      -4.390806709014e-15 
   23       3.395797166902e-10       1.885324923996e-15       5.643983296349e-13       2.807215489127e-17       2.333332233468e-10       2.347017651902e-11      -9.362072626896e-15 
   24       3.413511057376e-10       2.191036897828e-15       6.011653473356e-13       3.054852709239e-17       2.159407333403e-10       2.183146082884e-11      -1.338186667183e-14 
   25       3.431555701639e-10       2.530199929648e-15       6.378373016106e-13       3.313163296073e-17       2.003616950729e-10       2.034519556490e-11      -1.553336979801e-14 
   26       3.449761652170e-10       2.902924674545e-15       6.740191399345e-13       3.582158474554e-17       1.863120134946e-10       1.902964387010e-11      -1.538607132245e-14 
   27       3.468151331005e-10       3.311710389005e-15       7.095895869146e-13       3.861850066764e-17       1.736219653519e-10       1.784874213709e-11      -1.355416018893e-14 
   28       3.486512464274e-10       3.759811980249e-15       7.445336891184e-13       4.152249840130e-17       1.620717124896e-10       1.674509772748e-11      -1.106381125172e-14 
   29       3.505076913269e-10       4.249662599719e-15       7.788528144320e-13       4.453371913783e-17       1.516012948453e-10       1.571914899126e-11      -8.545769220016e-15 
   30       3.523833475252e-10       4.783471811981e-15       8.125824625913e-13       4.765231125020e-17       1.420971177668e-10       1.478344840018e-11      -6.618448035507e-15 
   31       3.542452449250e-10       5.363403282729e-15       8.457692816026e-13       5.087842963163e-17       1.333639612421e-10       1.394202347943e-11      -5.861304108693e-15 
   32       3.561102239613e-10       5.991328627689e-15       8.783605492079e-13       5.421225579094e-17       1.253561830032e-10       1.318565764525e-11      -6.149100463665e-15 
   33       3.579857988938e-10       6.668966303500e-15       9.102738968960e-13       5.765398833294e-17       1.180168012872e-10       1.249301558200e-11      -7.057436128881e-15 
   34       3.598584596421e-10       7.397944705958e-15       9.414107157713e-13       6.120383818522e-17       1.112426196490e-10       1.183876859651e-11      -8.098924198623e-15 
   35       3.617408930584e-10       8.179837400558e-15       9.716050332640e-13       6.486202329259e-17       1.049984351034e-10       1.122143332860e-11      -8.984413083163e-15 
   36       3.636359824832e-10       9.016123792947e-15       1.000654219424e-12       6.862877511311e-17       9.923350072613e-11       1.064442260417e-11      -9.444189114323e-15 
   37       3.655322932107e-10       9.908247248609e-15       1.028365395719e-12       7.250432917520e-17       9.387207195609e-11       1.010873595484e-11      -9.248386805161e-15 
   38       3.674407405894e-10       1.085787853135e-14       1.054674851564e-12       7.648888188494e-17       8.890003033290e-11       9.614058054034e-12      -8.524762752861e-15 
   39       3.693663692169e-10       1.186673078010e-14       1.079568219672e-12       8.058262121716e-17       8.430144300226e-11       9.157548929072e-12      -7.548862792169e-15 
   40       3.712961783451e-10       1.293648538464e-14       1.103049921228e-12       8.478573913596e-17       8.003223121639e-11       8.733204968071e-12      -6.664659654630e-15 
   41       3.732091170401e-10       1.406876862356e-14       1.125127825505e-12       8.909840994416e-17       7.603547123564e-11       8.333840061889e-12      -6.196510076486e-15 
   42       3.751144140944e-10       1.526507923086e-14       1.145758568376e-12       9.352071526872e-17       7.229918568409e-11       7.958452433265e-12      -6.139884201794e-15 
   43       3.770226232288e-10       1.652683248926e-14       1.164886291603e-12       9.805269576627e-17       6.881323556175e-11       7.606802421613e-12      -6.377430162054e-15 
   44       3.789338508838e-10       1.785537456598e-14       1.182457525146e-12       1.026943704679e-16       6.555197906259e-11       7.277256223901e-12      -6.760883079754e-15 
   45       3.808427525478e-10       1.925197181635e-14       1.198415147231e-12       1.074457157747e-16       6.248338049355e-11       6.967457557144e-12      -7.142586328981e-15 
   46       3.827577317132e-10       2.071778493250e-14       1.212678183750e-12       1.123065970487e-16       5.960248941113e-11       6.676852434298e-12      -7.485828488562e-15 
   47       3.846857274611e-10       2.225387981064e-14       1.225155917379e-12       1.172768150591e-16       5.690587345949e-11       6.404724054670e-12      -7.784218730084e-15 
   48       3.866260199587e-10       2.386122879569e-14       1.235753005417e-12       1.223561223279e-16       5.438152499729e-11       6.149404322522e-12      -8.031105968033e-15 
   49       3.885695469010e-10       2.554070604562e-14       1.244369102969e-12       1.275442210831e-16       5.200822392870e-11       5.908204416232e-12      -8.219580308999e-15 
   50       3.905046150685e-10       2.729311547877e-14       1.250909062833e-12       1.328407613603e-16       4.976190826657e-11       5.678226890325e-12      -8.347241138754e-15 
   51       3.924374485495e-10       2.911929431413e-14       1.255317673374e-12       1.382453394505e-16       4.763830263388e-11       5.459222933768e-12      -8.432023809212e-15 
   52       3.943760365293e-10       3.102002962277e-14       1.257553698494e-12       1.437574954921e-16       4.563533062762e-11       5.251390666682e-12      -8.500671431774e-15 
   53       3.963238521256e-10       3.299602517229e-14       1.257580243076e-12       1.493767112935e-16       4.374634382326e-11       5.054534108970e-12      -8.584564116444e-15 
   54       3.982794697777e-10       3.504789832449e-14       1.255364873889e-12       1.551024082928e-16       4.195981438141e-11       4.868035233378e-12      -8.719944733404e-15 
