# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.410651427490e-10       4.194806013906e-15       3.493957175918e-13       0.000000000000e+00       7.987813987073e-09       4.637570404277e-10      -1.844626952371e-12 
    3       1.329236816392e-10       5.381997636102e-15       3.943402651243e-13       0.000000000000e+00       4.922270447258e-09       3.272663092220e-10      -1.396505191659e-12 
    4       1.253892560237e-10       4.657515355785e-15       3.692655444881e-13       0.000000000000e+00       3.416101111158e-09       2.469071268453e-10      -9.135156563867e-13 
    5       1.197850871257e-10       3.108966088109e-15       3.146698492433e-13       0.000000000000e+00       2.543453100850e-09       1.943894200186e-10      -5.069384362739e-13 
    6       1.159079699352e-10       1.739676222673e-15       2.535300590328e-13       0.000000000000e+00       1.982555631598e-09       1.576819516360e-10      -2.070739977804e-13 
    7       1.133774646980e-10       9.416982706346e-16       1.991211852302e-13       0.000000000000e+00       1.596874634804e-09       1.308727285812e-10      -1.538063132705e-14 
    8       1.118981313161e-10       6.102740251045e-16       1.571836832827e-13       0.000000000000e+00       1.317897706963e-09       1.106290060152e-10       8.287701192857e-14 
    9       1.111412183597e-10       4.920618201011e-16       1.290010398220e-13       0.000000000000e+00       1.108362243653e-09       9.491116511147e-11       1.107452185265e-13 
   10       1.109484243166e-10       4.190765924198e-16       1.132197591684e-13       0.000000000000e+00       9.463522706193e-10       8.244961058320e-11       9.387996434052e-14 
   11       1.112028297498e-10       3.490042983456e-16       1.071391827219e-13       0.000000000000e+00       7.986461352041e-10       7.281622078324e-11       5.634893998504e-14 
   12       1.117858353259e-10       2.989790587982e-16       1.077974978969e-13       0.000000000000e+00       6.971219182330e-10       6.432311342585e-11       1.584185976987e-14 
   13       1.126179661411e-10       2.818192786026e-16       1.125858949468e-13       0.000000000000e+00       6.138311936281e-10       5.733320358687e-11      -1.551907259102e-14 
   14       1.136552494845e-10       2.900740188397e-16       1.195000145223e-13       0.000000000000e+00       5.445904114216e-10       5.144431942026e-11      -3.283263649423e-14 
   15       1.148867311295e-10       3.112189110300e-16       1.272022817648e-13       0.000000000000e+00       4.863521556210e-10       4.627420435212e-11      -3.675520362739e-14 
   16       1.162340964958e-10       3.417211459551e-16       1.349992414839e-13       0.000000000000e+00       4.368688914148e-10       4.190608506317e-11      -3.080902922579e-14 
   17       1.177094431242e-10       3.866395593436e-16       1.427704247191e-13       0.000000000000e+00       3.944497032885e-10       3.816133335294e-11      -2.013975796612e-14 
   18       1.192913936846e-10       4.516282835269e-16       1.507141889741e-13       0.000000000000e+00       3.576579902346e-10       3.486507721694e-11      -9.655874137705e-15 
   19       1.209789560729e-10       5.371296052239e-16       1.590539374324e-13       0.000000000000e+00       3.259018169832e-10       3.197250025837e-11      -2.033148469094e-15 
   20       1.227296193287e-10       6.411655905154e-16       1.679677195939e-13       0.000000000000e+00       2.979517892417e-10       2.939914533532e-11       8.767556183270e-16 
   21       1.245558486383e-10       7.629770396629e-16       1.774039686046e-13       0.000000000000e+00       2.733641766260e-10       2.713141389636e-11      -4.778162281945e-16 
   22       1.264555260412e-10       9.019192634127e-16       1.871644106261e-13       0.000000000000e+00       2.515458777556e-10       2.513633738840e-11      -4.462283677701e-15 
   23       1.284243333715e-10       1.058183742575e-15       1.969655226064e-13       0.000000000000e+00       2.321936671804e-10       2.335992901204e-11      -9.359345258235e-15 
   24       1.304373833507e-10       1.232035745727e-15       2.064408987686e-13       0.000000000000e+00       2.148570476067e-10       2.172591221341e-11      -1.329485035763e-14 
   25       1.325010101529e-10       1.423499940101e-15       2.152513006634e-13       0.000000000000e+00       1.993295990688e-10       2.024471605957e-11      -1.537498619015e-14 
   26       1.346152911314e-10       1.632742333243e-15       2.230773593138e-13       0.000000000000e+00       1.853278206630e-10       1.893360909165e-11      -1.518976834021e-14 
   27       1.367771187833e-10       1.861622656230e-15       2.298406160440e-13       0.000000000000e+00       1.726822978879e-10       1.775656580652e-11      -1.335585296901e-14 
   28       1.389731163608e-10       2.112517002566e-15       2.355586711799e-13       0.000000000000e+00       1.611736946855e-10       1.665656467215e-11      -1.089351382163e-14 
   29       1.412090412453e-10       2.386805058002e-15       2.402742680994e-13       0.000000000000e+00       1.507420830080e-10       1.563410066816e-11      -8.420603440951e-15 
   30       1.434844787712e-10       2.685551606045e-15       2.440666166311e-13       0.000000000000e+00       1.412741018724e-10       1.470171297339e-11      -6.536867502784e-15 
   31       1.457886818146e-10       3.009779075987e-15       2.470231738514e-13       0.000000000000e+00       1.325750488321e-10       1.386344567062e-11      -5.802577619399e-15 
   32       1.481253939006e-10       3.360436196066e-15       2.491202111958e-13       0.000000000000e+00       1.245993281733e-10       1.311011764972e-11      -6.089999476136e-15 
   33       1.504947004638e-10       3.738407651124e-15       2.502976863879e-13       0.000000000000e+00       1.172900664681e-10       1.242046117526e-11      -6.978202704022e-15 
   34       1.528903002575e-10       4.144520235731e-15       2.504790035032e-13       0.000000000000e+00       1.105443477753e-10       1.176921551635e-11      -7.985340304275e-15 
   35       1.553170857943e-10       4.579557322519e-15       2.495350450312e-13       0.000000000000e+00       1.043270216193e-10       1.115483295200e-11      -8.831264165141e-15 
   36       1.577780490211e-10       5.044239808018e-15       2.473050475691e-13       0.000000000000e+00       9.858746236295e-11       1.058061724641e-11      -9.258110509985e-15 
   37       1.602715010919e-10       5.539248975227e-15       2.436377267094e-13       0.000000000000e+00       9.325014608269e-11       1.004747270926e-11      -9.047174219022e-15 
   38       1.628003306305e-10       6.065337054464e-15       2.385058395005e-13       0.000000000000e+00       8.830095387023e-11       9.555084165910e-12      -8.325191345116e-15 
   39       1.653646240632e-10       6.623246846916e-15       2.319296827863e-13       0.000000000000e+00       8.372396851499e-11       9.100654524864e-12      -7.362190447937e-15 
   40       1.679584003015e-10       7.213678564579e-15       2.239478392977e-13       0.000000000000e+00       7.947524229100e-11       8.678246320592e-12      -6.495072557434e-15 
   41       1.705731114292e-10       7.837295863020e-15       2.146013261296e-13       0.000000000000e+00       7.549803793257e-11       8.280745299493e-12      -6.041063812478e-15 
   42       1.732109937360e-10       8.494753002535e-15       2.038771779873e-13       0.000000000000e+00       7.178039138873e-11       7.907163268417e-12      -5.993768551196e-15 
   43       1.758750277666e-10       9.186671837070e-15       1.917483580737e-13       0.000000000000e+00       6.831217577645e-11       7.557262140348e-12      -6.235467101303e-15 
   44       1.785648717576e-10       9.913631615696e-15       1.781890696519e-13       0.000000000000e+00       6.506782985266e-11       7.229415783637e-12      -6.617579442024e-15 
   45       1.812785283442e-10       1.067616308662e-14       1.631709203744e-13       0.000000000000e+00       6.201542829229e-11       6.921277726064e-12      -6.992496750517e-15 
   46       1.840187221448e-10       1.147473387311e-14       1.466501999093e-13       0.000000000000e+00       5.915001767818e-11       6.632291439510e-12      -7.324946431999e-15 
   47       1.867878634166e-10       1.230975499657e-14       1.285766890480e-13       0.000000000000e+00       5.646815939805e-11       6.361736258906e-12      -7.610656457413e-15 
   48       1.895860028682e-10       1.318158185778e-14       1.088968262314e-13       0.000000000000e+00       5.395787997453e-11       6.107943241613e-12      -7.845519222334e-15 
   49       1.924106144006e-10       1.409051183138e-14       8.755342583079e-14       0.000000000000e+00       5.159803704901e-11       5.868225990404e-12      -8.025616224399e-15 
   50       1.952582627337e-10       1.503678722915e-14       6.449373726530e-14       0.000000000000e+00       4.936466113823e-11       5.639690376758e-12      -8.151089468045e-15 
   51       1.981306439640e-10       1.602061071885e-14       3.969685485951e-14       0.000000000000e+00       4.725348118415e-11       5.422083312882e-12      -8.238937276585e-15 
