# dimensionless [l(l+1)/2pi] C_l's for scalar dark radiation density isocurvature (DRID) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.203235859701e-10       8.843480405768e-15       1.007835585022e-12       0.000000000000e+00       1.085572360818e-11       2.804334010757e-13      -7.029415389038e-16 
    3       2.171650698561e-10       1.182120269684e-14       1.017647396655e-12       0.000000000000e+00       8.490061929208e-12       2.752053919480e-13      -1.061640055517e-15 
    4       2.152746429872e-10       1.085141746826e-14       9.020278233106e-13       0.000000000000e+00       6.940051092235e-12       2.667326153368e-13      -1.129436636004e-15 
    5       2.141272043753e-10       7.748408136610e-15       7.493633054473e-13       0.000000000000e+00       5.727771047974e-12       2.538964967751e-13      -9.317153115498e-16 
    6       2.134082530765e-10       4.553773045848e-15       5.982289807709e-13       0.000000000000e+00       4.824681788656e-12       2.406403334944e-13      -5.525471603504e-16 
    7       2.129696461916e-10       2.365331469466e-15       4.677116599139e-13       0.000000000000e+00       4.195345819262e-12       2.294855858148e-13      -1.123271545444e-16 
    8       2.127229021477e-10       1.259240540584e-15       3.640516813639e-13       0.000000000000e+00       3.727628614767e-12       2.196163070637e-13       2.677933900088e-16 
    9       2.125516495935e-10       8.210163276090e-16       2.872789715683e-13       0.000000000000e+00       3.356588424949e-12       2.101025508670e-13       4.989034227373e-16 
   10       2.124447243408e-10       6.393801230826e-16       2.344357272135e-13       0.000000000000e+00       3.057579542202e-12       2.010668355484e-13       5.456522526636e-16 
   11       2.123855431164e-10       5.092544465978e-16       2.013569334122e-13       0.000000000000e+00       2.510158572487e-12       1.851516780604e-13       4.209668756213e-16 
   12       2.123409201585e-10       3.948948087483e-16       1.838253242381e-13       0.000000000000e+00       2.301082329494e-12       1.784314287061e-13       2.078232256061e-16 
   13       2.122977296659e-10       3.174964610670e-16       1.781498738975e-13       0.000000000000e+00       2.121644744199e-12       1.705003305603e-13      -2.914284788582e-17 
   14       2.122729422593e-10       2.846509141615e-16       1.813345905109e-13       0.000000000000e+00       1.965857243858e-12       1.615006452136e-13      -2.194171358960e-16 
   15       2.122493094021e-10       2.828056387606e-16       1.910237351270e-13       0.000000000000e+00       1.829255857553e-12       1.547483327438e-13      -3.170828426278e-16 
   16       2.121651585468e-10       2.969816717955e-16       2.054468835515e-13       0.000000000000e+00       1.708443223021e-12       1.483571268570e-13      -3.140808924196e-16 
   17       2.120786863240e-10       3.229087741525e-16       2.233574271459e-13       0.000000000000e+00       1.600788300136e-12       1.423907988736e-13      -2.312006488837e-16 
   18       2.119658308413e-10       3.641142441366e-16       2.437933379704e-13       0.000000000000e+00       1.503807423844e-12       1.363478139873e-13      -1.100343328472e-16 
   19       2.118583273629e-10       4.220115424910e-16       2.662084217796e-13       0.000000000000e+00       1.417087147165e-12       1.301167480896e-13       9.688766989456e-18 
   20       2.117084309161e-10       4.959503540568e-16       2.900266465467e-13       0.000000000000e+00       1.338025547719e-12       1.238646904691e-13       8.682860300329e-17 
   21       2.115388663300e-10       5.842846690859e-16       3.149725092377e-13       0.000000000000e+00       1.266029140425e-12       1.183039196031e-13       1.073799267504e-16 
   22       2.113341314287e-10       6.849573586621e-16       3.408332049361e-13       0.000000000000e+00       1.200020181397e-12       1.140648797752e-13       7.147696868641e-17 
   23       2.111151565138e-10       7.990338146738e-16       3.674735156408e-13       0.000000000000e+00       1.139556166352e-12       1.102475069792e-13      -2.727368660363e-18 
   24       2.108707545533e-10       9.284129036328e-16       3.947718904201e-13       0.000000000000e+00       1.083685733580e-12       1.055486154234e-13      -8.701631419639e-17 
   25       2.106087809474e-10       1.073524614305e-15       4.226409278405e-13       0.000000000000e+00       1.032096004088e-12       1.004795053319e-13      -1.583836078630e-16 
   26       2.103122096432e-10       1.234313846565e-15       4.510049914048e-13       0.000000000000e+00       9.841928315989e-13       9.603477845013e-14      -1.963029822328e-16 
   27       2.099863870287e-10       1.411420437776e-15       4.798213121737e-13       0.000000000000e+00       9.396674639628e-13       9.217633057282e-14      -1.983072199260e-16 
   28       2.096234595522e-10       1.605723581189e-15       5.090573845960e-13       0.000000000000e+00       8.980178040579e-13       8.853305532734e-14      -1.702974300947e-16 
   29       2.092408545122e-10       1.818277153027e-15       5.386718810079e-13       0.000000000000e+00       8.592118373632e-13       8.504832309585e-14      -1.251657790647e-16 
   30       2.088378656920e-10       2.050226406806e-15       5.686211391035e-13       0.000000000000e+00       8.230158943454e-13       8.173542679329e-14      -8.158053272306e-17 
   31       2.083922703696e-10       2.302713112006e-15       5.988643970356e-13       0.000000000000e+00       7.889124100233e-13       7.857780880498e-14      -5.872648929349e-17 
   32       2.079171674200e-10       2.576660697258e-15       6.293727055354e-13       0.000000000000e+00       7.568548298668e-13       7.553999553008e-14      -5.910098752912e-17 
   33       2.074199890331e-10       2.872903518381e-15       6.601237811486e-13       0.000000000000e+00       7.267348190376e-13       7.255440674057e-14      -7.923342485973e-17 
   34       2.068935309866e-10       3.192243808570e-15       6.910956515198e-13       0.000000000000e+00       6.982718737665e-13       6.955308015386e-14      -1.135838943481e-16 
   35       2.063455932307e-10       3.535472408345e-15       7.222514967764e-13       0.000000000000e+00       6.714134840634e-13       6.660037660096e-14      -1.531489180219e-16 
   36       2.057760741486e-10       3.903348511290e-15       7.535494818683e-13       0.000000000000e+00       6.460383631793e-13       6.380535775272e-14      -1.860786043374e-16 
   37       2.051752358831e-10       4.296634934574e-15       7.849480397535e-13       0.000000000000e+00       6.219258733989e-13       6.126324558627e-14      -2.012125861394e-16 
   38       2.045511122648e-10       4.716251014012e-15       8.164107208856e-13       0.000000000000e+00       5.990764626695e-13       5.897388812487e-14      -1.995714077447e-16 
   39       2.039086691147e-10       5.163167945872e-15       8.479028727453e-13       0.000000000000e+00       5.774744872699e-13       5.689440420839e-14      -1.866723442315e-16 
   40       2.032408955772e-10       5.638367818360e-15       8.793903396994e-13       0.000000000000e+00       5.569889253904e-13       5.495864747903e-14      -1.695870971965e-16 
   41       2.025352976729e-10       6.142814245664e-15       9.108399726715e-13       0.000000000000e+00       5.374333030724e-13       5.309476239670e-14      -1.554462640074e-16 
   42       2.017988738663e-10       6.677352870319e-15       9.422213602988e-13       0.000000000000e+00       5.187942953625e-13       5.128916484826e-14      -1.461156505985e-16 
   43       2.010392025826e-10       7.242778402748e-15       9.735056595042e-13       0.000000000000e+00       5.010597853020e-13       4.954028126502e-14      -1.419630607517e-16 
   44       2.002567374780e-10       7.839859131976e-15       1.004665166795e-12       0.000000000000e+00       4.841492099269e-13       4.784044026348e-14      -1.433036377303e-16 
   45       1.994481361271e-10       8.469332183528e-15       1.035671114058e-12       0.000000000000e+00       4.679522012577e-13       4.617983107922e-14      -1.500895784643e-16 
   46       1.986190782388e-10       9.131892482598e-15       1.066486191548e-12       0.000000000000e+00       4.524717329421e-13       4.456099478721e-14      -1.608820565633e-16 
   47       1.977740918127e-10       9.828196968643e-15       1.097069846298e-12       0.000000000000e+00       4.377140614451e-13       4.298779576429e-14      -1.735622726708e-16 
   48       1.969124046412e-10       1.055886481316e-14       1.127380232575e-12       0.000000000000e+00       4.236450227559e-13       4.146108090953e-14      -1.855867456988e-16 
   49       1.960274779645e-10       1.132447519498e-14       1.157374116368e-12       0.000000000000e+00       4.101868796892e-13       3.997842582757e-14      -1.939640845992e-16 
