#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm          
       7.084439109507e+00       1.647741335291e-05      -1.193789067398e+00       2.085262606094e-04       4.477223780481e-08       1.119305945120e-07       1.352460141188e-13       2.238611890240e-08      -8.953418005482e-01       2.085262606094e-04       5.915118399427e-01       7.017994052552e-01      -1.193789067398e+00       2.084785413702e-04       1.973376836348e-04      -1.193789067398e+00       2.084785413702e-04       1.973376836090e-04      -8.953418005483e-01       2.086232137309e-04 
       7.084440414370e+00       1.647741642444e-05      -1.193789069844e+00       2.085262988512e-04       4.477226270350e-08       1.119306567587e-07       1.352461397538e-13       2.238613135175e-08      -8.953418023827e-01       2.085262988512e-04       5.915118399994e-01       7.017994047344e-01      -1.193789069843e+00       2.084785795854e-04       1.973377561698e-04      -1.193789069843e+00       2.084785795854e-04       1.973377561183e-04      -8.953418023829e-01       2.086232520259e-04 
       7.084441719232e+00       1.647741949598e-05      -1.193789072289e+00       2.085263370930e-04       4.477228760220e-08       1.119307190055e-07       1.352462653890e-13       2.238614380110e-08      -8.953418042171e-01       2.085263370930e-04       5.915118400560e-01       7.017994042136e-01      -1.193789072289e+00       2.084786178007e-04       1.973378287049e-04      -1.193789072289e+00       2.084786178007e-04       1.973378286277e-04      -8.953418042175e-01       2.086232903210e-04 
       7.084454767856e+00       1.647745021134e-05      -1.193789096749e+00       2.085267195110e-04       4.477253658974e-08       1.119313414744e-07       1.352475217454e-13       2.238626829487e-08      -8.953418225621e-01       2.085267195110e-04       5.915118406221e-01       7.017993990056e-01      -1.193789096748e+00       2.084789999532e-04       1.973385540563e-04      -1.193789096748e+00       2.084789999532e-04       1.973385537215e-04      -8.953418225637e-01       2.086236732715e-04 
       7.084467816479e+00       1.647748092670e-05      -1.193789121210e+00       2.085271019290e-04       4.477278557822e-08       1.119319639456e-07       1.352487781112e-13       2.238639278911e-08      -8.953418409073e-01       2.085271019290e-04       5.915118411881e-01       7.017993937975e-01      -1.193789121208e+00       2.084793821058e-04       1.973392794090e-04      -1.193789121208e+00       2.084793821058e-04       1.973392788167e-04      -8.953418409102e-01       2.086240562220e-04 
       7.084480865103e+00       1.647751164207e-05      -1.193789145670e+00       2.085274843470e-04       4.477303456763e-08       1.119325864191e-07       1.352500344864e-13       2.238651728382e-08      -8.953418592525e-01       2.085274843470e-04       5.915118417541e-01       7.017993885895e-01      -1.193789145667e+00       2.084797642584e-04       1.973400047630e-04      -1.193789145667e+00       2.084797642584e-04       1.973400039133e-04      -8.953418592567e-01       2.086244391725e-04 
       7.084493913727e+00       1.647754235743e-05      -1.193789170130e+00       2.085278667650e-04       4.477328355798e-08       1.119332088949e-07       1.352512908709e-13       2.238664177899e-08      -8.953418775978e-01       2.085278667650e-04       5.915118423201e-01       7.017993833814e-01      -1.193789170127e+00       2.084801464110e-04       1.973407301184e-04      -1.193789170127e+00       2.084801464110e-04       1.973407290111e-04      -8.953418776032e-01       2.086248221230e-04 
       7.084624399963e+00       1.647784951117e-05      -1.193789414733e+00       2.085316909446e-04       4.477577351243e-08       1.119394337811e-07       1.352638552322e-13       2.238788675621e-08      -8.953420610498e-01       2.085316909446e-04       5.915118479803e-01       7.017993313008e-01      -1.193789414721e+00       2.084839679363e-04       1.973479837451e-04      -1.193789414721e+00       2.084839679363e-04       1.973479800627e-04      -8.953420610679e-01       2.086286516278e-04 
       7.084754886200e+00       1.647815666504e-05      -1.193789659335e+00       2.085355151232e-04       4.477826355970e-08       1.119456588993e-07       1.352764205309e-13       2.238913177985e-08      -8.953422445014e-01       2.085355151232e-04       5.915118536407e-01       7.017992792205e-01      -1.193789659315e+00       2.084877894606e-04       1.973552375046e-04      -1.193789659315e+00       2.084877894606e-04       1.973552312471e-04      -8.953422445321e-01       2.086324811318e-04 
       7.084885372437e+00       1.647846381904e-05      -1.193789903936e+00       2.085393393007e-04       4.478075369979e-08       1.119518842495e-07       1.352889867672e-13       2.239037684990e-08      -8.953424279524e-01       2.085393393008e-04       5.915118593011e-01       7.017992271406e-01      -1.193789903908e+00       2.084916109838e-04       1.973624913971e-04      -1.193789903908e+00       2.084916109838e-04       1.973624825643e-04      -8.953424279958e-01       2.086363106350e-04 
       7.085015858674e+00       1.647877097318e-05      -1.193790148537e+00       2.085431634773e-04       4.478324393270e-08       1.119581098317e-07       1.353015539410e-13       2.239162196635e-08      -8.953426114028e-01       2.085431634774e-04       5.915118649618e-01       7.017991750611e-01      -1.193790148500e+00       2.084954325058e-04       1.973697454224e-04      -1.193790148500e+00       2.084954325058e-04       1.973697340143e-04      -8.953426114588e-01       2.086401401375e-04 
       7.086010348959e+00       1.648111192800e-05      -1.193792012712e+00       2.085723090965e-04       4.480222609066e-08       1.120055652266e-07       1.353973644463e-13       2.240111304533e-08      -8.953440095343e-01       2.085723090968e-04       5.915119081096e-01       7.017987781534e-01      -1.193792012612e+00       2.085245578905e-04       1.974250357549e-04      -1.193792012612e+00       2.085245578906e-04       1.974250047158e-04      -8.953440096868e-01       2.086693263532e-04 
       7.087004839244e+00       1.648345289065e-05      -1.193793876838e+00       2.086014546571e-04       4.482121364078e-08       1.120530341019e-07       1.354932294368e-13       2.241060682039e-08      -8.953454076285e-01       2.086014546575e-04       5.915119512675e-01       7.017983812679e-01      -1.193793876675e+00       2.085536832110e-04       1.974803338063e-04      -1.193793876675e+00       2.085536832110e-04       1.974802831308e-04      -8.953454078775e-01       2.086985125217e-04 
       7.087999329529e+00       1.648579386114e-05      -1.193795740911e+00       2.086306001588e-04       4.484020658374e-08       1.121005164594e-07       1.355891489357e-13       2.242010329187e-08      -8.953468056836e-01       2.086306001593e-04       5.915119944360e-01       7.017979844051e-01      -1.193795740685e+00       2.085828084666e-04       1.975356395767e-04      -1.193795740685e+00       2.085828084666e-04       1.975355692592e-04      -8.953468060291e-01       2.087276986425e-04 
       7.088993819814e+00       1.648813483946e-05      -1.193797604931e+00       2.086597456010e-04       4.485920492025e-08       1.121480123006e-07       1.356851229662e-13       2.242960246012e-08      -8.953482036980e-01       2.086597456017e-04       5.915120376156e-01       7.017975875655e-01      -1.193797604640e+00       2.086119336571e-04       1.975909530660e-04      -1.193797604640e+00       2.086119336572e-04       1.975908631010e-04      -8.953482041401e-01       2.087568847151e-04 
       7.091040948971e+00       1.649295369951e-05      -1.193801441787e+00       2.087197404537e-04       4.489832942161e-08       1.122458235540e-07       1.358828544588e-13       2.244916471081e-08      -8.953510813402e-01       2.087197404548e-04       5.915121265345e-01       7.017967707564e-01      -1.193801441366e+00       2.086718868042e-04       1.977048385636e-04      -1.193801441366e+00       2.086718868043e-04       1.977047081376e-04      -8.953510819812e-01       2.088169632397e-04 
       7.093088078128e+00       1.649777259275e-05      -1.193805278413e+00       2.087797350547e-04       4.493747678715e-08       1.123436919679e-07       1.360808173218e-13       2.246873839357e-08      -8.953539588101e-01       2.087797350561e-04       5.915122155002e-01       7.017959540456e-01      -1.193805277862e+00       2.087318396751e-04       1.978187567684e-04      -1.193805277862e+00       2.087318396752e-04       1.978185858580e-04      -8.953539596503e-01       2.088770415603e-04 
       7.095135207286e+00       1.650259151918e-05      -1.193809114829e+00       2.088397294073e-04       4.497664702440e-08       1.124416175610e-07       1.362790117620e-13       2.248832351220e-08      -8.953568361219e-01       2.088397294090e-04       5.915123045087e-01       7.017951374285e-01      -1.193809114147e+00       2.087917922732e-04       1.979327076800e-04      -1.193809114147e+00       2.087917922734e-04       1.979324962620e-04      -8.953568371614e-01       2.089371196802e-04 
