# Matter power spectrum P(k) at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028412559098e-05       5.087466695968e+01 
       2.333453144735e-05       1.121031713605e+02 
       3.643121332748e-05       1.722995977973e+02 
       4.961034196751e-05       2.320922841706e+02 
       6.290869455762e-05       2.918502002518e+02 
       7.636399132375e-05       3.518518074246e+02 
       9.001524304110e-05       4.123364655351e+02 
       1.039031142183e-04       4.735256530295e+02 
       1.180703067255e-04       5.356338884005e+02 
       1.325619686753e-04       5.988753704970e+02 
       1.474261333657e-04       6.634686276456e+02 
       1.627141930218e-04       7.296401653108e+02 
       1.784814118530e-04       7.976276056640e+02 
       1.947874825108e-04       8.676825635600e+02 
       2.116971292489e-04       9.400734322753e+02 
       2.292807598255e-04       1.015088120224e+03 
       2.476151662285e-04       1.093036821050e+03 
       2.667842714019e-04       1.174254779409e+03 
       2.868799149822e-04       1.259105055625e+03 
       3.080026652374e-04       1.347981218407e+03 
       3.302626364911e-04       1.441309874059e+03 
       3.537802808691e-04       1.539552864907e+03 
       3.786871097972e-04       1.643208971388e+03 
       4.051262840866e-04       1.752814792774e+03 
       4.332529917938e-04       1.868944526810e+03 
       4.632345111314e-04       1.992208149536e+03 
       4.952498333875e-04       2.123247543540e+03 
       5.294887014118e-04       2.262730008741e+03 
       5.661499079706e-04       2.411338575964e+03 
       6.054387023594e-04       2.569758656350e+03 
       6.475631818406e-04       2.738660678725e+03 
       6.927296054801e-04       2.918678668507e+03 
       7.411366677728e-04       3.110385243034e+03 
       7.929689072270e-04       3.314263984290e+03 
       8.483895888615e-04       3.530680921121e+03 
       9.075335636491e-04       3.759857239994e+03 
       9.705007345143e-04       4.001846173847e+03 
       1.037350805672e-03       4.256516574681e+03 
       1.108099927639e-03       4.523545683694e+03 
       1.182719666544e-03       4.802422496597e+03 
       1.261138449528e-03       5.092461961759e+03 
       1.343245324110e-03       5.392828586497e+03 
       1.428895588007e-03       5.702558912868e+03 
       1.517917656412e-03       6.020597496149e+03 
       1.610120466737e-03       6.345875616683e+03 
       1.705300771425e-03       6.677285732436e+03 
       1.803249805195e-03       7.013731991731e+03 
       1.903758989164e-03       7.354153509506e+03 
       2.006624509401e-03       7.697542215931e+03 
       2.111650753064e-03       8.042955674696e+03 
       2.218652688422e-03       8.389524293949e+03 
       2.327457335248e-03       8.736455764669e+03 
       2.437904496645e-03       9.083034359956e+03 
       2.549846922475e-03       9.428618838865e+03 
       2.663150058189e-03       9.772640047234e+03 
       2.777691509010e-03       1.011459438744e+04 
       2.893360323611e-03       1.045404084161e+04 
       3.010056177161e-03       1.079059316400e+04 
       3.127688512448e-03       1.112391669333e+04 
       3.246175680514e-03       1.145372168482e+04 
       3.365444108620e-03       1.177975928912e+04 
       3.485427513052e-03       1.210181638295e+04 
       3.606066166745e-03       1.241971317357e+04 
       3.727306226337e-03       1.273329753472e+04 
       3.849099119560e-03       1.304244223816e+04 
       3.971400991494e-03       1.334704418573e+04 
       4.094172206660e-03       1.364702076626e+04 
       4.217376903101e-03       1.394230189190e+04 
       4.340982594169e-03       1.423284098826e+04 
