# Matter power spectrum P(k) for adiabatic (AD) mode at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028412559098e-05       5.084782321256e+01 
       2.333453144735e-05       1.121008526659e+02 
       3.643121332748e-05       1.722989792189e+02 
       4.961034196751e-05       2.320920342879e+02 
       6.290869455762e-05       2.918500748695e+02 
       7.636399132375e-05       3.518517357239e+02 
       9.001524304110e-05       4.123364209011e+02 
       1.039031142183e-04       4.735256236384e+02 
       1.180703067255e-04       5.356338683875e+02 
       1.325619686753e-04       5.988753566518e+02 
       1.474261333657e-04       6.634686180878e+02 
       1.627141930218e-04       7.296401588645e+02 
       1.784814118530e-04       7.976276015512e+02 
       1.947874825108e-04       8.676825611824e+02 
       2.116971292489e-04       9.400734311686e+02 
       2.292807598255e-04       1.015088119924e+03 
       2.476151662285e-04       1.093036821049e+03 
       2.667842714019e-04       1.174254779078e+03 
       2.868799149822e-04       1.259105054126e+03 
       3.080026652374e-04       1.347981214583e+03 
       3.302626364911e-04       1.441309866286e+03 
       3.537802808691e-04       1.539552850862e+03 
       3.786871097972e-04       1.643208947780e+03 
       4.051262840866e-04       1.752814754877e+03 
       4.332529917938e-04       1.868944467868e+03 
       4.632345111314e-04       1.992208059861e+03 
       4.952498333875e-04       2.123247409182e+03 
       5.294887014118e-04       2.262729809801e+03 
       5.661499079706e-04       2.411338283754e+03 
       6.054387023594e-04       2.569758230063e+03 
       6.475631818406e-04       2.738660059660e+03 
       6.927296054801e-04       2.918677773176e+03 
       7.411366677728e-04       3.110383953166e+03 
       7.929689072270e-04       3.314262133321e+03 
       8.483895888615e-04       3.530678275872e+03 
       9.075335636491e-04       3.759853478229e+03 
       9.705007345143e-04       4.001840853924e+03 
       1.037350805672e-03       4.256509099305e+03 
       1.108099927639e-03       4.523535264609e+03 
       1.182719666544e-03       4.802408086362e+03 
       1.261138449528e-03       5.092442203351e+03 
       1.343245324110e-03       5.392801748838e+03 
       1.428895588007e-03       5.702522569866e+03 
       1.517917656412e-03       6.020548169660e+03 
       1.610120466737e-03       6.345809829285e+03 
       1.705300771425e-03       6.677199292049e+03 
       1.803249805195e-03       7.013619902869e+03 
       1.903758989164e-03       7.354009866718e+03 
       2.006624509401e-03       7.697360203432e+03 
       2.111650753064e-03       8.042727394923e+03 
       2.218652688422e-03       8.389240745872e+03 
       2.327457335248e-03       8.736106776481e+03 
       2.437904496645e-03       9.082608548228e+03 
       2.549846922475e-03       9.428103534635e+03 
       2.663150058189e-03       9.772021247550e+03 
       2.777691509010e-03       1.011385679484e+04 
       2.893360323611e-03       1.045316769656e+04 
       3.010056177161e-03       1.078956641738e+04 
       3.127688512448e-03       1.112271683023e+04 
       3.246175680514e-03       1.145232781197e+04 
       3.365444108620e-03       1.177814909852e+04 
       3.485427513052e-03       1.209996626002e+04 
       3.606066166745e-03       1.241759807020e+04 
       3.727306226337e-03       1.273089104247e+04 
       3.849099119560e-03       1.303971683559e+04 
       3.971400991494e-03       1.334397099885e+04 
       4.094172206660e-03       1.364356952441e+04 
       4.217376903101e-03       1.393844139932e+04 
       4.340982594169e-03       1.422853879981e+04 
       4.464959813675e-03       1.451381968307e+04 
       4.589281800096e-03       1.479425931603e+04 
       4.713924215813e-03       1.506984253522e+04 
       4.838864897574e-03       1.534055983935e+04 
       4.964083634764e-03       1.560641683108e+04 
       5.089561972309e-03       1.586741611705e+04 
       5.215283035423e-03       1.612357184202e+04 
       5.341231373683e-03       1.637490870939e+04 
       5.467392822177e-03       1.662144466879e+04 
       5.593754377759e-03       1.686320887153e+04 
       5.720304088651e-03       1.710023662060e+04 
       5.847030955858e-03       1.733255613852e+04 
       5.973924845012e-03       1.756021414097e+04 
       6.100976407471e-03       1.778324106219e+04 
       6.228177009598e-03       1.800168101593e+04 
       6.355518669310e-03       1.821558456819e+04 
       6.482993999063e-03       1.842498941512e+04 
       6.610596154561e-03       1.862993804230e+04 
       6.738318788565e-03       1.883049448461e+04 
       6.866156009221e-03       1.902668491178e+04 
       6.994102342445e-03       1.921856474364e+04 
       7.122152697900e-03       1.940619434974e+04 
       7.246376811594e-03       1.958405713974e+04 
       7.250302338206e-03       1.958961137857e+04 
       7.378546851026e-03       1.976885871975e+04 
       7.506882123738e-03       1.994399905034e+04 
       7.635304320423e-03       2.011508086218e+04 
       7.763809860932e-03       2.028214730121e+04 
       7.892395401822e-03       2.044524689802e+04 
       8.021057818978e-03       2.060443088852e+04 
       8.149794191750e-03       2.075975047100e+04 
       8.278601788459e-03       2.091124465878e+04 
       8.407478053141e-03       2.105898222240e+04 
       8.536420593410e-03       2.120299310924e+04 
       8.665427169331e-03       2.134333190835e+04 
       8.794495683215e-03       2.148004092305e+04 
       8.923624170250e-03       2.161317418925e+04 
       9.052810789881e-03       2.174277825497e+04 
       9.182053817888e-03       2.186889232236e+04 
       9.311351639089e-03       2.199155538746e+04 
       9.440702740614e-03       2.211084731613e+04 
       9.570105705704e-03       2.222677521618e+04 
       9.699559207984e-03       2.233939016304e+04 
       9.829062006178e-03       2.244874734976e+04 
       9.958612939215e-03       2.255488242000e+04 
       1.008821092172e-02       2.265784271400e+04 
       1.021785493980e-02       2.275766189942e+04 
       1.034754404722e-02       2.285439559281e+04 
       1.047727736175e-02       2.294807136272e+04 
       1.060705406187e-02       2.303873612024e+04 
       1.073687338368e-02       2.312642917807e+04 
       1.086673461802e-02       2.321119283408e+04 
       1.099663710781e-02       2.329306215887e+04 
       1.112658024557e-02       2.337208568083e+04 
       1.125656347115e-02       2.344829293000e+04 
       1.138658626955e-02       2.352172302617e+04 
       1.151664816898e-02       2.359240940664e+04 
       1.164674873898e-02       2.366039252574e+04 
       1.177688758870e-02       2.372571169759e+04 
       1.190706436535e-02       2.378839999221e+04 
       1.203727875266e-02       2.384849960619e+04 
       1.216753046951e-02       2.390603306530e+04 
       1.229781926869e-02       2.396105323176e+04 
       1.242814493566e-02       2.401357605019e+04 
       1.255850728745e-02       2.406365078032e+04 
       1.268890617165e-02       2.411130590349e+04 
       1.281934146543e-02       2.415656883818e+04 
       1.294981307468e-02       2.419948215294e+04 
       1.308032093317e-02       2.424008014764e+04 
       1.321086500180e-02       2.427838014022e+04 
       1.334144526789e-02       2.431442274157e+04 
       1.347206174455e-02       2.434824012643e+04 
       1.360271447005e-02       2.437985971269e+04 
       1.373340350729e-02       2.440931807488e+04 
       1.386412894333e-02       2.443663711378e+04 
