# Matter power spectrum P(k) for dark radiation density isocurvature (DRID) mode at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028412559098e-05       2.684374711962e-02 
       2.333453144735e-05       2.318694685375e-03 
       3.643121332748e-05       6.185784634695e-04 
       4.961034196751e-05       2.498826616794e-04 
       6.290869455762e-05       1.253822852241e-04 
       7.636399132375e-05       7.170077556080e-05 
       9.001524304110e-05       4.463406539324e-05 
       1.039031142183e-04       2.939103668544e-05 
       1.180703067255e-04       2.001300434493e-05 
       1.325619686753e-04       1.384510523748e-05 
       1.474261333657e-04       9.557815436953e-06 
       1.627141930218e-04       6.446281509556e-06 
       1.784814118530e-04       4.112832251517e-06 
       1.947874825108e-04       2.377634025329e-06 
       2.116971292489e-04       1.106748985054e-06 
       2.292807598255e-04       2.992916407775e-07 
       2.476151662285e-04       7.486432457246e-11 
       2.667842714019e-04       3.317800639363e-07 
       2.868799149822e-04       1.498687455344e-06 
       3.080026652374e-04       3.824457322672e-06 
       3.302626364911e-04       7.772545908180e-06 
       3.537802808691e-04       1.404511581017e-05 
       3.786871097972e-04       2.360727493627e-05 
       4.051262840866e-04       3.789661726504e-05 
       4.332529917938e-04       5.894159296314e-05 
       4.632345111314e-04       8.967480357756e-05 
       4.952498333875e-04       1.343579154400e-04 
       5.294887014118e-04       1.989402696001e-04 
       5.661499079706e-04       2.922106184446e-04 
       6.054387023594e-04       4.262872188972e-04 
       6.475631818406e-04       6.190656479099e-04 
       6.927296054801e-04       8.953306756654e-04 
       7.411366677728e-04       1.289868362047e-03 
       7.929689072270e-04       1.850969134306e-03 
       8.483895888615e-04       2.645248639663e-03 
       9.075335636491e-04       3.761765183911e-03 
       9.705007345143e-04       5.319923736650e-03 
       1.037350805672e-03       7.475376152017e-03 
       1.108099927639e-03       1.041908566846e-02 
       1.182719666544e-03       1.441023447062e-02 
       1.261138449528e-03       1.975840779809e-02 
       1.343245324110e-03       2.683765869836e-02 
       1.428895588007e-03       3.634300216056e-02 
       1.517917656412e-03       4.932648915187e-02 
       1.610120466737e-03       6.578739843551e-02 
       1.705300771425e-03       8.644038760968e-02 
       1.803249805195e-03       1.120888625515e-01 
       1.903758989164e-03       1.436427879287e-01 
       2.006624509401e-03       1.820124994861e-01 
       2.111650753064e-03       2.282797731043e-01 
       2.218652688422e-03       2.835480771680e-01 
       2.327457335248e-03       3.489881884791e-01 
       2.437904496645e-03       4.258117279189e-01 
       2.549846922475e-03       5.153042297714e-01 
       2.663150058189e-03       6.187996838622e-01 
       2.777691509010e-03       7.375925986681e-01 
       2.893360323611e-03       8.731450527446e-01 
       3.010056177161e-03       1.026746617171e+00 
       3.127688512448e-03       1.199863099494e+00 
       3.246175680514e-03       1.393872847412e+00 
       3.365444108620e-03       1.610190599015e+00 
       3.485427513052e-03       1.850122922804e+00 
       3.606066166745e-03       2.115103369537e+00 
       3.727306226337e-03       2.406492248738e+00 
       3.849099119560e-03       2.725402565229e+00 
       3.971400991494e-03       3.073186876179e+00 
       4.094172206660e-03       3.451241854017e+00 
       4.217376903101e-03       3.860492573307e+00 
       4.340982594169e-03       4.302188459842e+00 
       4.464959813675e-03       4.777539666158e+00 
       4.589281800096e-03       5.287330507118e+00 
       4.713924215813e-03       5.832750477882e+00 
       4.838864897574e-03       6.414728551221e+00 
       4.964083634764e-03       7.034070926641e+00 
       5.089561972309e-03       7.691786897995e+00 
       5.215283035423e-03       8.388383587686e+00 
       5.341231373683e-03       9.124853397318e+00 
       5.467392822177e-03       9.901622102689e+00 
       5.593754377759e-03       1.071931550634e+01 
       5.720304088651e-03       1.157838487330e+01 
       5.847030955858e-03       1.247972408308e+01 
       5.973924845012e-03       1.342311471481e+01 
       6.100976407471e-03       1.440950790771e+01 
       6.228177009598e-03       1.543839010839e+01 
       6.355518669310e-03       1.651083169424e+01 
       6.482993999063e-03       1.762644963756e+01 
       6.610596154561e-03       1.878573290046e+01 
       6.738318788565e-03       1.998855945498e+01 
       6.866156009221e-03       2.123463352868e+01 
       6.994102342445e-03       2.252465272786e+01 
       7.122152697900e-03       2.385762517392e+01 
       7.246376811594e-03       2.519122777631e+01 
       7.250302338206e-03       2.523402023954e+01 
       7.378546851026e-03       2.665353326853e+01 
       7.506882123738e-03       2.811552968772e+01 
       7.635304320423e-03       2.962012455059e+01 
       7.763809860932e-03       3.116703539353e+01 
       7.892395401822e-03       3.275484371110e+01 
       8.021057818978e-03       3.438465897060e+01 
       8.149794191750e-03       3.605505146375e+01 
       8.278601788459e-03       3.776559639621e+01 
       8.407478053141e-03       3.951561598904e+01 
       8.536420593410e-03       4.130485140713e+01 
       8.665427169331e-03       4.313265255572e+01 
       8.794495683215e-03       4.499780005551e+01 
       8.923624170250e-03       4.689969211736e+01 
       9.052810789881e-03       4.883793182024e+01 
       9.182053817888e-03       5.081265577127e+01 
       9.311351639089e-03       5.282115654508e+01 
       9.440702740614e-03       5.486285270432e+01 
       9.570105705704e-03       5.693834304542e+01 
       9.699559207984e-03       5.904531382962e+01 
       9.829062006178e-03       6.118434102323e+01 
       9.958612939215e-03       6.335278295763e+01 
       1.008821092172e-02       6.555004845274e+01 
       1.021785493980e-02       6.777739715439e+01 
       1.034754404722e-02       7.003059115057e+01 
       1.047727736175e-02       7.231155516372e+01 
       1.060705406187e-02       7.461489106778e+01 
       1.073687338368e-02       7.694344508078e+01 
       1.086673461802e-02       7.929586107634e+01 
       1.099663710781e-02       8.166994183867e+01 
       1.112658024557e-02       8.406563743828e+01 
       1.125656347115e-02       8.648032057143e+01 
       1.138658626955e-02       8.891489241332e+01 
       1.151664816898e-02       9.136646065624e+01 
       1.164674873898e-02       9.383443066540e+01 
       1.177688758870e-02       9.631885420046e+01 
       1.190706436535e-02       9.881578293790e+01 
       1.203727875266e-02       1.013272787149e+02 
       1.216753046951e-02       1.038501652552e+02 
       1.229781926869e-02       1.063849395599e+02 
       1.242814493566e-02       1.089288855017e+02 
       1.255850728745e-02       1.114820954192e+02 
       1.268890617165e-02       1.140417676353e+02 
       1.281934146543e-02       1.166100783523e+02 
       1.294981307468e-02       1.191822670489e+02 
       1.308032093317e-02       1.217575119994e+02 
       1.321086500180e-02       1.243385684299e+02 
       1.334144526789e-02       1.269186608963e+02 
       1.347206174455e-02       1.295017037293e+02 
       1.360271447005e-02       1.320846236592e+02 
       1.373340350729e-02       1.346655601658e+02 
       1.386412894333e-02       1.372443047932e+02 
       1.399489088885e-02       1.398197871551e+02 
       1.412568947781e-02       1.423908949754e+02 
       1.425652486702e-02       1.449563257154e+02 
       1.438739723581e-02       1.475149309489e+02 
       1.449275362319e-02       1.495694618959e+02 
       1.451830678571e-02       1.500663346731e+02 
       1.464925374020e-02       1.526095333583e+02 
       1.478023834441e-02       1.551433235474e+02 
       1.491126086498e-02       1.576654899341e+02 
       1.504232158981e-02       1.601764745283e+02 
       1.517342082791e-02       1.626760235328e+02 
       1.530455890930e-02       1.651612202908e+02 
       1.543573618486e-02       1.676317786133e+02 
       1.556695302630e-02       1.700881173908e+02 
       1.569820982603e-02       1.725264393828e+02 
       1.582950699718e-02       1.749492999068e+02 
       1.596084497356e-02       1.773538213452e+02 
       1.609222420969e-02       1.797402844034e+02 
       1.622364518078e-02       1.821057235352e+02 
       1.635510838282e-02       1.844523575965e+02 
       1.648661433265e-02       1.867758018013e+02 
       1.661816356800e-02       1.890774892006e+02 
       1.674975664765e-02       1.913581583009e+02 
       1.688139415151e-02       1.936144998842e+02 
       1.701307668080e-02       1.958456882277e+02 
       1.714480485816e-02       1.980550480283e+02 
       1.727657932788e-02       2.002341311193e+02 
       1.740840075606e-02       2.023889687667e+02 
       1.754026983083e-02       2.045185019204e+02 
       1.767218726260e-02       2.066179242212e+02 
       1.780415378424e-02       2.086909381624e+02 
       1.793617015142e-02       2.107326497691e+02 
       1.806823714286e-02       2.127473324843e+02 
       1.820035556059e-02       2.147285836283e+02 
       1.833252623031e-02       2.166826296456e+02 
       1.846475000170e-02       2.186053436107e+02 
       1.859702774877e-02       2.204943845183e+02 
       1.872936037020e-02       2.223525276909e+02 
       1.886174878976e-02       2.241786265181e+02 
       1.899419395666e-02       2.259722877674e+02 
       1.912669684601e-02       2.277313603150e+02 
       1.925925845921e-02       2.294554619535e+02 
       1.939187982442e-02       2.311468721866e+02 
       1.952456199702e-02       2.328037951931e+02 
       1.965730606011e-02       2.344250775194e+02 
       1.979011312499e-02       2.360101038600e+02 
       1.992298433167e-02       2.375618926513e+02 
       2.005592084945e-02       2.390762108610e+02 
       2.018892387747e-02       2.405540045324e+02 
       2.032199464525e-02       2.419945183069e+02 
       2.045513441333e-02       2.434004368958e+02 
       2.058834447387e-02       2.447667783380e+02 
       2.072162615132e-02       2.460976759589e+02 
       2.085498080302e-02       2.473905726428e+02 
       2.098840981994e-02       2.486456514529e+02 
       2.112191462737e-02       2.498628063317e+02 
       2.125549668563e-02       2.510430981100e+02 
       2.138915749085e-02       2.521855936993e+02 
       2.152289857573e-02       2.532893160330e+02 
       2.165672151034e-02       2.543530289034e+02 
       2.179062790295e-02       2.553796315980e+02 
       2.192461940087e-02       2.563689024157e+02 
       2.205869769138e-02       2.573182583614e+02 
       2.219286450254e-02       2.582294918350e+02 
       2.232712160423e-02       2.591023063222e+02 
       2.246147080905e-02       2.599368477000e+02 
       2.259591397332e-02       2.607319797912e+02 
       2.273045299813e-02       2.614890916604e+02 
       2.286508983037e-02       2.622069035080e+02 
       2.299982646385e-02       2.628869857899e+02 
       2.313466494041e-02       2.635298387841e+02 
       2.326960735105e-02       2.641337946302e+02 
       2.340465583717e-02       2.646983994639e+02 
       2.353981259181e-02       2.652249025078e+02 
       2.367507986086e-02       2.657149869984e+02 
       2.381045994443e-02       2.661674700124e+02 
       2.394595519819e-02       2.665817160327e+02 
       2.408156803474e-02       2.669565057361e+02 
       2.421730092510e-02       2.672958690874e+02 
       2.435315640014e-02       2.675961054185e+02 
       2.448913705218e-02       2.678621030639e+02 
       2.462524553649e-02       2.680903679348e+02 
